PID,FIRST,LAST,SEASON,GAME,YEAR,MONTH,DAY,AGE,TEAM,HOME/AWAY,OPP,RESULT,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-
acyqu01,Quincy,Acy,2014-2015,2,2014,10,30,24.06570842,NYK,AWAY,CLE,5,TRUE,22.45,4,7,0.571,0,0,None,0,0,None,6,4,10,2,0,1,2,6,8,7.8,2
acyqu01,Quincy,Acy,2014-2015,3,2014,11,2,24.07392197,NYK,HOME,CHO,3,TRUE,20.33333333,1,4,0.25,0,1,0,0,0,None,0,3,3,2,0,0,0,2,2,1.1,11
acyqu01,Quincy,Acy,2014-2015,5,2014,11,5,24.08213552,NYK,AWAY,DET,-3,FALSE,13.7,0,1,0,0,0,None,0,0,None,2,4,6,1,0,1,2,1,0,0.9,-6
acyqu01,Quincy,Acy,2014-2015,6,2014,11,7,24.08761123,NYK,AWAY,BRK,-11,FALSE,22.23333333,3,7,0.429,0,0,None,1,2,0.5,6,3,9,0,0,0,3,3,7,3.8,-15
acyqu01,Quincy,Acy,2014-2015,7,2014,11,8,24.09034908,NYK,AWAY,ATL,-7,FALSE,13.56666667,1,1,1,0,0,None,0,0,None,1,2,3,0,0,0,1,2,2,1.2,-10
acyqu01,Quincy,Acy,2014-2015,9,2014,11,12,24.10130048,NYK,HOME,ORL,-2,TRUE,20.2,1,1,1,0,0,None,0,0,None,2,2,4,1,0,0,2,4,2,0.8,-8
acyqu01,Quincy,Acy,2014-2015,10,2014,11,14,24.10677618,NYK,HOME,UTA,-2,FALSE,19.65,2,2,1,0,0,None,2,2,1,1,1,2,0,0,0,0,3,6,5.2,-5
acyqu01,Quincy,Acy,2014-2015,11,2014,11,16,24.11225188,NYK,HOME,DEN,16,TRUE,31.16666667,3,7,0.429,0,1,0,2,2,1,1,7,8,3,3,0,0,3,8,11,-3
acyqu01,Quincy,Acy,2014-2015,13,2014,11,19,24.12046543,NYK,AWAY,MIN,-16,TRUE,32.3,4,8,0.5,0,0,None,1,1,1,2,6,8,0,0,0,3,2,9,4.4,-4
acyqu01,Quincy,Acy,2014-2015,14,2014,11,22,24.12867899,NYK,HOME,PHI,8,TRUE,23.95,3,6,0.5,0,0,None,4,4,1,0,5,5,2,0,0,0,4,10,8.3,14
acyqu01,Quincy,Acy,2014-2015,15,2014,11,24,24.13415469,NYK,AWAY,HOU,-5,TRUE,25.35,0,4,0,0,0,None,1,2,0.5,4,4,8,3,0,0,1,1,1,2.5,-6
acyqu01,Quincy,Acy,2014-2015,16,2014,11,26,24.13963039,NYK,AWAY,DAL,-7,TRUE,36.13333333,3,8,0.375,0,0,None,2,4,0.5,0,6,6,1,0,0,1,3,8,3.1,-1
acyqu01,Quincy,Acy,2014-2015,17,2014,11,28,24.14510609,NYK,AWAY,OKC,-27,TRUE,22.88333333,1,3,0.333,0,0,None,3,4,0.75,1,5,6,0,0,0,1,2,5,3.3,-17
acyqu01,Quincy,Acy,2014-2015,18,2014,11,30,24.15058179,NYK,HOME,MIA,-7,TRUE,23.88333333,1,1,1,0,0,None,1,1,1,1,2,3,1,0,0,1,1,3,3.3,-1
acyqu01,Quincy,Acy,2014-2015,19,2014,12,2,24.15605749,NYK,HOME,BRK,-5,FALSE,10.46666667,2,3,0.667,0,0,None,0,0,None,0,2,2,0,1,0,2,4,4,0.7,-9
acyqu01,Quincy,Acy,2014-2015,20,2014,12,4,24.1615332,NYK,HOME,CLE,-3,TRUE,31.2,6,8,0.75,0,0,None,3,4,0.75,2,4,6,3,0,1,3,1,15,13.4,-15
acyqu01,Quincy,Acy,2014-2015,21,2014,12,5,24.16427105,NYK,AWAY,CHO,-1,FALSE,12.06666667,2,4,0.5,1,1,1,0,0,None,0,4,4,0,0,0,0,2,5,3.4,-6
acyqu01,Quincy,Acy,2014-2015,22,2014,12,7,24.16974675,NYK,HOME,POR,-4,TRUE,18.55,2,2,1,0,0,None,2,2,1,0,4,4,1,0,0,0,2,6,6.5,0
acyqu01,Quincy,Acy,2014-2015,23,2014,12,9,24.17522245,NYK,AWAY,NOP,-11,TRUE,17.91666667,2,3,0.667,0,0,None,0,0,None,0,1,1,1,1,0,0,1,4,4.3,-2
acyqu01,Quincy,Acy,2014-2015,24,2014,12,10,24.1779603,NYK,AWAY,SAS,-14,TRUE,24.98333333,3,6,0.5,0,0,None,2,2,1,0,5,5,1,0,0,0,3,8,6,4
acyqu01,Quincy,Acy,2014-2015,25,2014,12,12,24.183436,NYK,AWAY,BOS,6,TRUE,17.28333333,0,1,0,0,0,None,0,0,None,1,3,4,3,2,0,1,1,0,3.6,16
acyqu01,Quincy,Acy,2014-2015,26,2014,12,14,24.1889117,NYK,HOME,TOR,-5,TRUE,30.83333333,1,3,0.333,0,0,None,0,0,None,2,3,5,3,1,0,0,2,2,4.9,11
acyqu01,Quincy,Acy,2014-2015,27,2014,12,16,24.19438741,NYK,HOME,DAL,-20,TRUE,20.03333333,3,4,0.75,0,0,None,0,0,None,1,4,5,0,0,2,1,0,6,6.7,-14
acyqu01,Quincy,Acy,2014-2015,28,2014,12,18,24.19986311,NYK,AWAY,CHI,-6,FALSE,9.883333333,2,4,0.5,0,0,None,2,2,1,1,3,4,0,0,0,0,1,6,5.2,1
acyqu01,Quincy,Acy,2014-2015,29,2014,12,20,24.20533881,NYK,HOME,PHO,-9,TRUE,16.9,0,0,None,0,0,None,0,0,None,3,1,4,1,0,0,3,3,0,-1.1,-9
acyqu01,Quincy,Acy,2014-2015,30,2014,12,21,24.20807666,NYK,AWAY,TOR,-10,TRUE,25.65,3,8,0.375,0,0,None,1,2,0.5,1,3,4,1,0,2,2,3,7,2.7,-14
acyqu01,Quincy,Acy,2014-2015,31,2014,12,25,24.21902806,NYK,HOME,WAS,-11,FALSE,11.88333333,2,3,0.667,0,0,None,0,0,None,0,2,2,1,0,0,0,2,4,3.2,1
acyqu01,Quincy,Acy,2014-2015,33,2014,12,28,24.22724162,NYK,AWAY,POR,-22,FALSE,23.85,5,9,0.556,2,2,1,0,0,None,1,3,4,1,0,0,3,1,12,6.6,-4
acyqu01,Quincy,Acy,2014-2015,34,2014,12,31,24.23545517,NYK,AWAY,LAC,-21,FALSE,18.63333333,3,5,0.6,0,1,0,2,2,1,0,3,3,0,0,0,0,2,8,5.8,-7
acyqu01,Quincy,Acy,2014-2015,35,2015,1,2,24.24093087,NYK,HOME,DET,-16,FALSE,24.88333333,4,10,0.4,0,2,0,1,1,1,4,5,9,1,1,1,0,4,9,8.7,-6
acyqu01,Quincy,Acy,2014-2015,36,2015,1,4,24.24640657,NYK,HOME,MIL,-13,TRUE,28.25,4,7,0.571,0,1,0,1,2,0.5,1,6,7,2,2,0,0,4,9,9.6,-11
acyqu01,Quincy,Acy,2014-2015,37,2015,1,5,24.24914442,NYK,AWAY,MEM,-22,FALSE,31.18333333,7,8,0.875,2,3,0.667,3,4,0.75,3,11,14,1,1,0,1,3,19,20.7,-2
acyqu01,Quincy,Acy,2014-2015,38,2015,1,7,24.25462012,NYK,AWAY,WAS,-10,TRUE,29.81666667,2,8,0.25,0,1,0,0,0,None,1,8,9,0,0,0,2,2,4,-0.5,-11
acyqu01,Quincy,Acy,2014-2015,39,2015,1,8,24.25735797,NYK,HOME,HOU,-24,FALSE,30.68333333,4,7,0.571,0,1,0,3,7,0.429,1,4,5,3,0,0,1,4,11,7.5,-7
acyqu01,Quincy,Acy,2014-2015,40,2015,1,10,24.26283368,NYK,HOME,CHO,-28,FALSE,21.98333333,6,9,0.667,3,4,0.75,3,4,0.75,0,1,1,0,2,0,1,3,18,13.8,-7
acyqu01,Quincy,Acy,2014-2015,41,2015,1,15,24.27652293,NYK,AWAY,MIL,-16,FALSE,4.3,0,0,None,0,0,None,0,0,None,0,0,0,0,0,0,0,2,0,-0.8,-5
acyqu01,Quincy,Acy,2014-2015,44,2015,1,23,24.29842574,NYK,HOME,ORL,7,FALSE,4.833333333,0,0,None,0,0,None,0,0,None,0,1,1,0,0,0,0,1,0,-0.1,10
acyqu01,Quincy,Acy,2014-2015,45,2015,1,24,24.30116359,NYK,AWAY,CHO,-5,FALSE,8.983333333,0,1,0,0,1,0,0,0,None,0,4,4,1,0,0,0,1,0,0.8,7
acyqu01,Quincy,Acy,2014-2015,46,2015,1,28,24.31211499,NYK,HOME,OKC,8,FALSE,4.233333333,0,2,0,0,0,None,0,0,None,0,1,1,0,0,0,0,0,0,-1.1,2
acyqu01,Quincy,Acy,2014-2015,47,2015,1,29,24.31485284,NYK,AWAY,IND,-21,FALSE,21.01666667,1,4,0.25,0,1,0,1,2,0.5,1,4,5,1,0,1,2,3,3,0.3,0
acyqu01,Quincy,Acy,2014-2015,48,2015,2,1,24.32306639,NYK,HOME,LAL,12,FALSE,20.61666667,3,9,0.333,1,2,0.5,0,0,None,4,4,8,0,2,0,0,3,7,6.7,-13
