PID,FIRST,LAST,SEASON,GAME,YEAR,MONTH,DAY,AGE,TEAM,HOME/AWAY,OPP,RESULT,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-
afflaar01,Arron,Afflalo,2009-2010,1,2009,10,28,24.0355920602,DEN,HOME,UTA,9,FALSE,22.7166666667,1,4,.250,0,1,.000,1,1,1.000,0,1,1,2,0,0,2,2,3,-0.5,+13
afflaar01,Arron,Afflalo,2009-2010,2,2009,10,29,24.038329911,DEN,AWAY,POR,3,FALSE,14.0833333333,0,1,.000,0,1,.000,0,0,None,0,0,0,0,0,1,0,4,0,-1.6,+7
afflaar01,Arron,Afflalo,2009-2010,3,2009,11,01,24.0465434634,DEN,HOME,MEM,10,FALSE,19.4666666667,3,7,.429,1,1,1.000,0,0,None,0,2,2,4,0,2,0,2,7,7.3,+13
afflaar01,Arron,Afflalo,2009-2010,4,2009,11,03,24.052019165,DEN,AWAY,IND,18,FALSE,22.9333333333,6,10,.600,1,2,.500,2,2,1.000,0,3,3,1,0,0,1,0,15,11.0,+16
afflaar01,Arron,Afflalo,2009-2010,5,2009,11,04,24.0547570157,DEN,AWAY,NJN,28,FALSE,31.4833333333,5,8,.625,1,3,.333,4,5,.800,2,4,6,4,2,0,2,2,15,15.6,+7
afflaar01,Arron,Afflalo,2009-2010,6,2009,11,06,24.0602327173,DEN,AWAY,MIA,-8,FALSE,28.95,7,12,.583,1,2,.500,3,5,.600,0,4,4,2,1,0,3,5,18,10.2,+12
afflaar01,Arron,Afflalo,2009-2010,7,2009,11,07,24.0629705681,DEN,AWAY,ATL,-25,FALSE,32.1166666667,3,8,.375,0,2,.000,3,4,.750,0,2,2,1,0,0,0,2,9,4.7,-13
afflaar01,Arron,Afflalo,2009-2010,8,2009,11,10,24.0711841205,DEN,AWAY,CHI,1,TRUE,19.1,4,8,.500,2,3,.667,0,0,None,1,1,2,1,0,1,0,0,10,8.4,+1
afflaar01,Arron,Afflalo,2009-2010,9,2009,11,11,24.0739219713,DEN,AWAY,MIL,-6,TRUE,15.3666666667,2,3,.667,1,1,1.000,0,0,None,0,2,2,0,1,0,0,1,5,4.9,+1
afflaar01,Arron,Afflalo,2009-2010,10,2009,11,13,24.0793976728,DEN,HOME,LAL,26,TRUE,33.3833333333,3,4,.750,1,1,1.000,1,3,.333,0,3,3,1,1,0,1,3,8,6.0,+15
