PID,FIRST,LAST,SEASON,GAME,YEAR,MONTH,DAY,AGE,TEAM,HOME/AWAY,OPP,RESULT,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-
acyqu01,Quincy,Acy,2015-2016,5,2015,11,04,25.0793976728,SAC,AWAY,PHO,-21,FALSE,3.51666666667,0,0,None,0,0,None,0,0,None,0,1,1,1,0,0,0,0,0,1.0,-1
acyqu01,Quincy,Acy,2015-2016,7,2015,11,07,25.0876112252,SAC,HOME,GSW,-9,TRUE,14.8833333333,1,1,1.000,0,0,None,1,2,.500,0,3,3,2,0,1,1,0,3,4.3,+8
acyqu01,Quincy,Acy,2015-2016,8,2015,11,09,25.0930869268,SAC,HOME,SAS,-18,FALSE,3.46666666667,1,1,1.000,1,1,1.000,0,0,None,0,0,0,0,0,0,0,0,3,2.7,+2
acyqu01,Quincy,Acy,2015-2016,10,2015,11,13,25.1040383299,SAC,HOME,BRK,2,FALSE,19.1666666667,1,2,.500,0,0,None,1,2,.500,0,1,1,0,2,0,1,0,3,2.9,+13
acyqu01,Quincy,Acy,2015-2016,11,2015,11,15,25.1095140315,SAC,HOME,TOR,6,FALSE,14.6333333333,1,2,.500,0,0,None,0,0,None,0,3,3,1,0,0,0,3,2,1.4,-5
acyqu01,Quincy,Acy,2015-2016,12,2015,11,18,25.1177275838,SAC,AWAY,ATL,-6,TRUE,15.95,0,0,None,0,0,None,0,0,None,0,1,1,1,0,1,1,3,0,-0.5,-10
acyqu01,Quincy,Acy,2015-2016,13,2015,11,19,25.1204654346,SAC,AWAY,MIA,-7,FALSE,5.35,0,1,.000,0,1,.000,0,0,None,1,0,1,0,0,0,0,0,0,0.0,-1
acyqu01,Quincy,Acy,2015-2016,17,2015,11,27,25.1423682409,SAC,HOME,MIN,-10,FALSE,9.35,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,3,1,-1.0,-8
acyqu01,Quincy,Acy,2015-2016,18,2015,11,28,25.1451060917,SAC,AWAY,GSW,-19,FALSE,15.1333333333,4,7,.571,1,1,1.000,0,0,None,4,3,7,1,0,0,1,3,9,7.9,-12
acyqu01,Quincy,Acy,2015-2016,20,2015,12,03,25.1587953457,SAC,HOME,BOS,-17,FALSE,6.78333333333,1,4,.250,0,0,None,0,0,None,1,0,1,0,1,0,0,0,2,1.3,-7
acyqu01,Quincy,Acy,2015-2016,21,2015,12,05,25.1642710472,SAC,AWAY,HOU,-7,FALSE,3.7,1,2,.500,0,0,None,0,0,None,1,0,1,0,0,0,0,2,2,0.9,-6
acyqu01,Quincy,Acy,2015-2016,25,2015,12,15,25.1916495551,SAC,HOME,HOU,10,FALSE,0.916666666667,0,1,.000,0,1,.000,0,0,None,0,0,0,0,0,0,0,0,0,-0.7,-3
acyqu01,Quincy,Acy,2015-2016,31,2015,12,28,25.2272416153,SAC,AWAY,GSW,-19,FALSE,24.7,3,7,.429,1,2,.500,1,3,.333,3,7,10,1,2,3,2,4,8,8.9,-9
acyqu01,Quincy,Acy,2015-2016,32,2015,12,30,25.2327173169,SAC,HOME,PHI,-5,FALSE,9.13333333333,0,1,.000,0,0,None,2,2,1.000,2,3,5,0,1,0,0,1,2,4.2,+6
acyqu01,Quincy,Acy,2015-2016,33,2016,01,02,25.2409308693,SAC,HOME,PHO,23,FALSE,4.28333333333,1,2,.500,0,0,None,0,0,None,0,0,0,0,1,0,0,1,2,1.6,0
acyqu01,Quincy,Acy,2015-2016,34,2016,01,04,25.2464065708,SAC,AWAY,OKC,12,TRUE,5.11666666667,0,0,None,0,0,None,0,0,None,1,0,1,0,0,0,0,1,0,0.3,-6
acyqu01,Quincy,Acy,2015-2016,35,2016,01,05,25.2491444216,SAC,AWAY,DAL,-1,TRUE,16.0833333333,4,4,1.000,1,1,1.000,3,3,1.000,3,3,6,0,1,0,0,3,12,13.6,-5
acyqu01,Quincy,Acy,2015-2016,36,2016,01,07,25.2546201232,SAC,HOME,LAL,3,TRUE,24.9833333333,8,9,.889,0,0,None,2,3,.667,2,2,4,0,1,2,0,1,18,18.5,+16
acyqu01,Quincy,Acy,2015-2016,37,2016,01,09,25.2600958248,SAC,HOME,GSW,-12,TRUE,21.8666666667,3,4,.750,0,0,None,3,3,1.000,1,2,3,0,0,0,0,3,9,7.5,-8
acyqu01,Quincy,Acy,2015-2016,38,2016,01,13,25.2710472279,SAC,HOME,NOP,-12,TRUE,8.76666666667,0,1,.000,0,0,None,0,0,None,0,2,2,1,0,1,0,0,0,1.3,-1
acyqu01,Quincy,Acy,2015-2016,41,2016,01,20,25.2902121834,SAC,AWAY,LAL,19,FALSE,1.93333333333,1,2,.500,0,0,None,0,0,None,0,0,0,0,0,0,0,0,2,1.0,+1
acyqu01,Quincy,Acy,2015-2016,42,2016,01,21,25.2929500342,SAC,HOME,ATL,3,FALSE,11.4833333333,1,2,.500,0,0,None,2,2,1.000,0,1,1,0,0,0,0,1,4,2.9,-10
acyqu01,Quincy,Acy,2015-2016,45,2016,01,26,25.3066392882,SAC,AWAY,POR,-15,FALSE,16.65,2,4,.500,0,0,None,0,0,None,3,3,6,1,1,0,1,1,4,5.3,-3
acyqu01,Quincy,Acy,2015-2016,46,2016,01,28,25.3121149897,SAC,AWAY,NOP,-9,FALSE,18.85,1,3,.333,1,2,.500,0,0,None,2,7,9,0,0,0,1,2,3,3.0,+3
acyqu01,Quincy,Acy,2015-2016,47,2016,01,30,25.3175906913,SAC,AWAY,MEM,-4,FALSE,10.95,3,3,1.000,0,0,None,0,0,None,2,1,3,0,0,0,0,2,6,6.0,+4
acyqu01,Quincy,Acy,2015-2016,48,2016,02,01,25.3230663929,SAC,HOME,MIL,7,FALSE,17.45,2,7,.286,0,1,.000,0,0,None,7,1,8,1,0,0,0,2,4,5.0,-3
acyqu01,Quincy,Acy,2015-2016,50,2016,02,05,25.334017796,SAC,AWAY,BRK,-9,FALSE,6.13333333333,0,0,None,0,0,None,0,0,None,0,0,0,0,0,1,0,0,0,0.7,-4
acyqu01,Quincy,Acy,2015-2016,51,2016,02,07,25.3394934976,SAC,AWAY,BOS,-9,FALSE,3.23333333333,0,0,None,0,0,None,0,0,None,1,0,1,0,0,0,0,0,0,0.7,-2
acyqu01,Quincy,Acy,2015-2016,52,2016,02,08,25.3422313484,SAC,AWAY,CLE,-20,FALSE,4.63333333333,1,2,.500,0,0,None,1,1,1.000,1,0,1,0,1,0,0,0,3,3.7,-2
acyqu01,Quincy,Acy,2015-2016,53,2016,02,10,25.34770705,SAC,AWAY,PHI,4,FALSE,14.8166666667,2,3,.667,0,1,.000,2,2,1.000,3,1,4,0,0,2,1,3,6,6.3,+13
acyqu01,Quincy,Acy,2015-2016,54,2016,02,19,25.372347707,SAC,HOME,DEN,6,TRUE,14.9,0,0,None,0,0,None,0,0,None,0,3,3,0,0,0,1,1,0,-0.5,+2
acyqu01,Quincy,Acy,2015-2016,55,2016,02,23,25.3832991102,SAC,AWAY,DEN,4,TRUE,12.8833333333,0,2,.000,0,0,None,0,0,None,0,3,3,0,0,3,0,1,0,1.2,-1
acyqu01,Quincy,Acy,2015-2016,56,2016,02,24,25.386036961,SAC,HOME,SAS,-16,TRUE,23.0,6,9,.667,1,1,1.000,2,2,1.000,0,2,2,0,2,0,1,4,15,11.1,+13
acyqu01,Quincy,Acy,2015-2016,57,2016,02,26,25.3915126626,SAC,HOME,LAC,-10,TRUE,15.35,1,1,1.000,0,0,None,2,4,.500,0,0,0,0,0,1,0,3,4,2.4,-12
