PID,FIRST,LAST,SEASON,GAME,YEAR,MONTH,DAY,AGE,TEAM,HOME/AWAY,OPP,RESULT,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-
abdursh01,Shareef,Abdur-Rahim,2006-2007,1,2006,11,01,29.8898015058,SAC,AWAY,MIN,-9,FALSE,25.8833333333,4,7,.571,0,0,None,4,5,.800,2,1,3,0,0,0,4,3,12,4.8,-5
abdursh01,Shareef,Abdur-Rahim,2006-2007,2,2006,11,03,29.8952772074,SAC,AWAY,CHI,1,FALSE,27.0166666667,2,7,.286,0,0,None,1,2,.500,1,5,6,0,1,1,2,5,5,0.4,+6
abdursh01,Shareef,Abdur-Rahim,2006-2007,3,2006,11,04,29.8980150582,SAC,AWAY,MIL,-13,FALSE,22.6833333333,5,10,.500,0,0,None,5,6,.833,1,5,6,2,2,1,3,3,15,11.7,-19
abdursh01,Shareef,Abdur-Rahim,2006-2007,4,2006,11,06,29.9034907598,SAC,HOME,MIN,12,TRUE,40.75,6,14,.429,0,1,.000,1,1,1.000,1,6,7,0,4,1,4,2,13,8.0,+11
abdursh01,Shareef,Abdur-Rahim,2006-2007,5,2006,11,08,29.9089664613,SAC,HOME,DET,13,TRUE,26.4333333333,3,10,.300,0,0,None,3,4,.750,1,3,4,1,1,0,0,4,9,4.5,-3
abdursh01,Shareef,Abdur-Rahim,2006-2007,6,2006,11,12,29.9199178645,SAC,HOME,TOR,15,TRUE,35.0166666667,6,14,.429,0,0,None,6,8,.750,4,3,7,2,1,0,6,2,18,9.1,+3
abdursh01,Shareef,Abdur-Rahim,2006-2007,7,2006,11,15,29.9281314168,SAC,HOME,MEM,4,TRUE,33.4833333333,10,19,.526,0,0,None,1,1,1.000,6,7,13,1,0,0,3,4,21,14.1,+9
abdursh01,Shareef,Abdur-Rahim,2006-2007,8,2006,11,16,29.9308692676,SAC,AWAY,GSW,-12,TRUE,20.85,5,7,.714,0,0,None,2,2,1.000,3,1,4,0,0,0,1,1,12,10.1,-12
abdursh01,Shareef,Abdur-Rahim,2006-2007,9,2006,11,19,29.93908282,SAC,HOME,SAS,-9,TRUE,43.9,7,13,.538,0,1,.000,2,2,1.000,2,10,12,1,1,2,2,5,16,13.2,-17
abdursh01,Shareef,Abdur-Rahim,2006-2007,10,2006,11,22,29.9472963723,SAC,HOME,UTA,-9,TRUE,39.3,5,14,.357,0,0,None,1,1,1.000,4,4,8,3,0,1,2,5,11,6.0,-13
abdursh01,Shareef,Abdur-Rahim,2006-2007,11,2006,11,24,29.9527720739,SAC,AWAY,SEA,9,TRUE,32.4833333333,7,10,.700,0,0,None,0,0,None,3,5,8,1,0,1,4,3,14,9.6,+4
abdursh01,Shareef,Abdur-Rahim,2006-2007,12,2006,11,25,29.9555099247,SAC,HOME,POR,20,TRUE,28.2166666667,5,7,.714,0,0,None,3,4,.750,2,3,5,1,2,0,1,6,13,11.3,+14
abdursh01,Shareef,Abdur-Rahim,2006-2007,13,2006,11,28,29.9637234771,SAC,HOME,LAC,13,TRUE,20.3333333333,3,6,.500,0,0,None,3,4,.750,1,1,2,1,0,0,0,4,9,5.7,-4
abdursh01,Shareef,Abdur-Rahim,2006-2007,14,2006,12,01,29.9719370294,SAC,AWAY,DAL,-19,TRUE,19.4333333333,2,9,.222,0,1,.000,1,2,.500,0,3,3,0,1,1,2,1,5,-0.7,-16
abdursh01,Shareef,Abdur-Rahim,2006-2007,15,2006,12,02,29.9746748802,SAC,AWAY,SAS,-2,TRUE,23.2,5,7,.714,0,0,None,1,2,.500,0,4,4,0,0,1,1,4,11,7.0,-12
abdursh01,Shareef,Abdur-Rahim,2006-2007,16,2006,12,04,29.9801505818,SAC,HOME,ORL,-3,TRUE,17.4666666667,0,4,.000,0,1,.000,4,4,1.000,1,2,3,1,0,0,1,4,4,0.6,-4
abdursh01,Shareef,Abdur-Rahim,2006-2007,17,2006,12,05,29.9828884326,SAC,AWAY,PHO,-25,FALSE,20.9833333333,5,8,.625,0,0,None,2,2,1.000,2,5,7,1,0,0,2,4,12,8.4,-6
abdursh01,Shareef,Abdur-Rahim,2006-2007,18,2006,12,07,29.9883641342,SAC,HOME,MIA,-2,FALSE,19.8666666667,0,2,.000,0,0,None,2,4,.500,1,4,5,1,0,2,2,3,2,0.6,-8
abdursh01,Shareef,Abdur-Rahim,2006-2007,19,2006,12,10,29.9965776865,SAC,HOME,ATL,25,TRUE,24.3166666667,3,8,.375,0,0,None,5,6,.833,0,2,2,2,0,0,0,2,11,7.4,+16
abdursh01,Shareef,Abdur-Rahim,2006-2007,20,2006,12,12,30.0027378508,SAC,AWAY,GSW,-13,FALSE,24.8333333333,4,9,.444,0,0,None,3,4,.750,5,4,9,1,0,2,1,5,11,9.7,-7
abdursh01,Shareef,Abdur-Rahim,2006-2007,21,2006,12,15,30.0109514031,SAC,AWAY,UTA,1,FALSE,30.4666666667,6,8,.750,1,1,1.000,8,8,1.000,5,3,8,2,2,0,3,4,21,21.0,+21
abdursh01,Shareef,Abdur-Rahim,2006-2007,22,2006,12,16,30.0136892539,SAC,HOME,PHO,-7,FALSE,25.1333333333,4,8,.500,0,1,.000,4,6,.667,2,7,9,1,0,0,0,3,12,10.2,-3
abdursh01,Shareef,Abdur-Rahim,2006-2007,23,2006,12,18,30.0191649555,SAC,HOME,DAL,-18,FALSE,24.9333333333,5,11,.455,0,0,None,5,8,.625,0,3,3,0,0,0,0,2,15,8.2,-9
abdursh01,Shareef,Abdur-Rahim,2006-2007,24,2006,12,21,30.0273785079,SAC,HOME,WAS,-7,FALSE,25.9833333333,2,6,.333,0,0,None,0,0,None,1,4,5,2,0,0,1,5,4,0.9,-6
abdursh01,Shareef,Abdur-Rahim,2006-2007,25,2006,12,22,30.0301163587,SAC,AWAY,DEN,5,FALSE,27.7166666667,5,9,.556,0,0,None,1,2,.500,2,5,7,2,0,2,1,3,11,9.8,+7
abdursh01,Shareef,Abdur-Rahim,2006-2007,26,2006,12,29,30.0492813142,SAC,AWAY,LAC,-9,FALSE,20.4,3,6,.500,0,1,.000,4,4,1.000,3,2,5,1,0,0,1,2,10,8.6,-7
abdursh01,Shareef,Abdur-Rahim,2006-2007,27,2006,12,30,30.052019165,SAC,HOME,GSW,23,FALSE,26.2833333333,5,9,.556,0,1,.000,2,2,1.000,2,6,8,3,1,1,1,4,12,12.1,+18
abdursh01,Shareef,Abdur-Rahim,2006-2007,28,2007,01,02,30.0602327173,SAC,HOME,NYK,12,FALSE,29.6,4,9,.444,0,1,.000,2,2,1.000,0,2,2,2,0,1,1,5,10,5.0,+6
abdursh01,Shareef,Abdur-Rahim,2006-2007,29,2007,01,04,30.0657084189,SAC,HOME,LAL,-4,TRUE,23.7666666667,5,9,.556,0,0,None,1,2,.500,1,2,3,1,0,0,0,4,11,6.7,-4
abdursh01,Shareef,Abdur-Rahim,2006-2007,30,2007,01,06,30.0711841205,SAC,HOME,POR,-5,TRUE,29.4833333333,2,9,.222,0,1,.000,0,0,None,3,4,7,1,2,0,2,4,4,0.9,-8
abdursh01,Shareef,Abdur-Rahim,2006-2007,31,2007,01,09,30.0793976728,SAC,HOME,CLE,-10,TRUE,18.95,1,4,.250,0,0,None,0,0,None,2,2,4,2,0,2,0,0,2,4.4,-3
abdursh01,Shareef,Abdur-Rahim,2006-2007,32,2007,01,12,30.0876112252,SAC,AWAY,POR,-8,TRUE,23.55,2,5,.400,0,0,None,2,3,.667,1,2,3,3,0,0,0,4,6,4.7,+2
abdursh01,Shareef,Abdur-Rahim,2006-2007,33,2007,01,13,30.090349076,SAC,HOME,HOU,-4,TRUE,36.7833333333,6,7,.857,0,0,None,3,4,.750,0,3,3,2,0,0,4,6,15,8.0,-8
abdursh01,Shareef,Abdur-Rahim,2006-2007,34,2007,01,15,30.0958247775,SAC,AWAY,NYK,-5,TRUE,41.6,9,16,.563,0,0,None,7,9,.778,1,3,4,4,3,2,1,3,25,23.2,+11
abdursh01,Shareef,Abdur-Rahim,2006-2007,35,2007,01,17,30.1013004791,SAC,AWAY,TOR,-16,TRUE,34.4166666667,7,10,.700,0,1,.000,0,0,None,1,5,6,2,1,0,1,6,14,11.0,-1
abdursh01,Shareef,Abdur-Rahim,2006-2007,36,2007,01,19,30.1067761807,SAC,AWAY,BOS,5,TRUE,20.85,2,8,.250,0,0,None,0,2,.000,1,3,4,2,0,0,2,0,4,-0.6,-5
abdursh01,Shareef,Abdur-Rahim,2006-2007,37,2007,01,20,30.1095140315,SAC,AWAY,DET,-17,TRUE,19.5333333333,0,3,.000,0,0,None,0,0,None,2,1,3,0,1,1,1,1,0,-0.1,-21
abdursh01,Shareef,Abdur-Rahim,2006-2007,38,2007,01,22,30.1149897331,SAC,HOME,NJN,1,FALSE,14.9166666667,3,9,.333,0,0,None,0,0,None,4,1,5,3,0,0,0,2,6,5.3,0
abdursh01,Shareef,Abdur-Rahim,2006-2007,39,2007,01,24,30.1204654346,SAC,HOME,MIL,8,FALSE,18.5,2,6,.333,0,0,None,4,4,1.000,3,3,6,0,1,0,1,3,8,6.4,+1
abdursh01,Shareef,Abdur-Rahim,2006-2007,40,2007,01,26,30.1259411362,SAC,AWAY,NOK,-4,FALSE,16.45,1,7,.143,0,0,None,2,2,1.000,3,2,5,2,2,0,1,1,4,4.2,-9
abdursh01,Shareef,Abdur-Rahim,2006-2007,41,2007,01,27,30.128678987,SAC,AWAY,DAL,-2,FALSE,20.4666666667,2,4,.500,0,0,None,3,4,.750,0,1,1,2,0,0,1,1,7,4.9,-14
abdursh01,Shareef,Abdur-Rahim,2006-2007,42,2007,01,29,30.1341546886,SAC,AWAY,MEM,-7,FALSE,18.8,2,8,.250,0,0,None,1,1,1.000,1,2,3,2,1,0,1,1,5,2.5,+1
abdursh01,Shareef,Abdur-Rahim,2006-2007,43,2007,02,03,30.1478439425,SAC,HOME,DEN,7,FALSE,21.1166666667,3,8,.375,0,0,None,1,2,.500,0,4,4,1,1,1,1,2,7,4.0,-2
abdursh01,Shareef,Abdur-Rahim,2006-2007,44,2007,02,05,30.1533196441,SAC,HOME,NOK,6,FALSE,26.5833333333,6,12,.500,0,1,.000,0,0,None,1,5,6,0,1,1,1,2,12,8.1,+1
abdursh01,Shareef,Abdur-Rahim,2006-2007,45,2007,02,08,30.1615331964,SAC,HOME,CHI,9,FALSE,16.5166666667,2,4,.500,0,0,None,3,3,1.000,1,3,4,1,0,1,1,2,7,6.2,-7
abdursh01,Shareef,Abdur-Rahim,2006-2007,46,2007,02,10,30.167008898,SAC,AWAY,SEA,21,TRUE,32.4166666667,6,8,.750,0,0,None,1,2,.500,1,3,4,5,2,0,2,4,13,12.9,+24
abdursh01,Shareef,Abdur-Rahim,2006-2007,47,2007,02,11,30.1697467488,SAC,HOME,SEA,-11,TRUE,34.1833333333,5,10,.500,0,1,.000,6,9,.667,2,2,4,1,0,0,1,3,16,10.3,-13
abdursh01,Shareef,Abdur-Rahim,2006-2007,48,2007,02,13,30.1752224504,SAC,AWAY,HOU,-5,TRUE,23.35,2,4,.500,0,0,None,2,4,.500,0,4,4,4,1,0,1,3,6,6.0,+16
abdursh01,Shareef,Abdur-Rahim,2006-2007,49,2007,02,14,30.1779603012,SAC,AWAY,NOK,-17,TRUE,29.5,3,8,.375,0,0,None,0,0,None,2,3,5,2,1,0,0,2,6,5.5,-23
abdursh01,Shareef,Abdur-Rahim,2006-2007,50,2007,02,20,30.1943874059,SAC,HOME,BOS,3,FALSE,20.1166666667,1,5,.200,0,0,None,3,4,.750,0,2,2,3,0,0,1,4,5,1.6,-11
abdursh01,Shareef,Abdur-Rahim,2006-2007,51,2007,02,22,30.1998631075,SAC,AWAY,WAS,-3,FALSE,16.2166666667,2,6,.333,0,0,None,2,3,.667,1,2,3,1,1,1,2,3,6,2.7,-10
abdursh01,Shareef,Abdur-Rahim,2006-2007,52,2007,02,23,30.2026009582,SAC,AWAY,NJN,-13,FALSE,23.95,4,8,.500,0,0,None,1,1,1.000,2,8,10,1,0,0,2,5,9,5.5,+5
