PID,FIRST,LAST,SEASON,GAME,YEAR,MONTH,DAY,AGE,TEAM,HOME/AWAY,OPP,RESULT,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-
adrieje01,Jeff,Adrien,2010-2011,1,2010,10,27,24.7091033539,GSW,HOME,HOU,4,FALSE,0.8,0,0,None,0,0,None,0,0,None,0,1,1,0,0,0,0,1,0,-0.1,+3
adrieje01,Jeff,Adrien,2010-2011,2,2010,10,31,24.720054757,GSW,AWAY,LAL,-24,FALSE,3.96666666667,1,1,1.000,0,0,None,0,2,.000,1,1,2,2,0,0,0,1,2,2.9,+2
adrieje01,Jeff,Adrien,2010-2011,3,2010,11,11,24.7501711157,GSW,AWAY,CHI,-30,FALSE,6.43333333333,1,2,.500,0,0,None,0,0,None,1,0,1,0,0,0,1,1,2,0.3,-6
adrieje01,Jeff,Adrien,2010-2011,4,2010,11,13,24.7556468172,GSW,AWAY,MIL,-7,FALSE,19.2666666667,3,4,.750,0,0,None,0,0,None,3,5,8,0,0,2,0,1,6,9.0,+10
adrieje01,Jeff,Adrien,2010-2011,5,2010,11,15,24.7611225188,GSW,HOME,DET,4,FALSE,15.55,0,3,.000,0,0,None,0,0,None,1,2,3,0,3,0,1,1,0,0.8,+16
adrieje01,Jeff,Adrien,2010-2011,6,2010,11,19,24.772073922,GSW,HOME,NYK,-6,FALSE,14.0833333333,1,3,.333,0,0,None,0,0,None,1,2,3,2,0,0,1,2,2,1.2,-10
adrieje01,Jeff,Adrien,2010-2011,7,2010,11,21,24.7775496235,GSW,AWAY,LAL,-28,FALSE,26.45,3,8,.375,0,0,None,3,5,.600,6,4,10,1,0,1,0,2,9,9.8,-3
adrieje01,Jeff,Adrien,2010-2011,8,2010,11,22,24.7802874743,GSW,HOME,DEN,-17,FALSE,3.21666666667,0,1,.000,0,0,None,0,0,None,0,1,1,0,0,0,0,1,0,-0.8,+3
adrieje01,Jeff,Adrien,2010-2011,9,2010,11,24,24.7857631759,GSW,AWAY,HOU,-10,FALSE,11.6,0,2,.000,0,0,None,0,0,None,1,2,3,0,0,1,0,2,0,-0.2,-4
adrieje01,Jeff,Adrien,2010-2011,10,2010,11,26,24.7912388775,GSW,AWAY,MEM,-5,FALSE,30.75,6,11,.545,0,0,None,0,0,None,2,6,8,2,0,0,1,6,12,7.9,+6
adrieje01,Jeff,Adrien,2010-2011,11,2010,11,27,24.7939767283,GSW,AWAY,MIN,10,FALSE,6.03333333333,0,0,None,0,0,None,0,0,None,0,2,2,0,0,0,0,3,0,-0.6,-3
adrieje01,Jeff,Adrien,2010-2011,12,2010,11,30,24.8021902806,GSW,HOME,SAS,-20,FALSE,3.56666666667,1,1,1.000,0,0,None,1,1,1.000,0,1,1,0,0,0,0,0,3,3.0,0
