PID,FIRST,LAST,SEASON,GAME,YEAR,MONTH,DAY,AGE,TEAM,HOME/AWAY,OPP,RESULT,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-
acyqu01,Quincy,Acy,2012-2013,5,2012,11,7,22.08761123,TOR,AWAY,DAL,-5,FALSE,4.15,0,1,0,0,0,None,0,0,None,0,0,0,0,0,0,0,1,0,-1.1,-6
acyqu01,Quincy,Acy,2012-2013,9,2012,11,17,22.11498973,TOR,AWAY,BOS,-18,FALSE,12.1,1,1,1,0,0,None,4,4,1,2,2,4,0,2,1,0,0,6,10.4,5
acyqu01,Quincy,Acy,2012-2013,16,2012,11,28,22.14510609,TOR,AWAY,MEM,-21,FALSE,4.333333333,0,1,0,0,0,None,1,2,0.5,0,2,2,0,0,0,0,1,1,0.1,-2
acyqu01,Quincy,Acy,2012-2013,24,2012,12,14,22.1889117,TOR,HOME,DAL,21,FALSE,2.183333333,1,1,1,0,0,None,0,0,None,0,0,0,0,0,0,0,0,2,1.7,1
acyqu01,Quincy,Acy,2012-2013,29,2012,12,26,22.22176591,TOR,AWAY,SAS,-20,FALSE,2.95,0,0,None,0,0,None,0,0,None,1,1,2,0,0,0,0,0,0,1,-3
acyqu01,Quincy,Acy,2012-2013,31,2012,12,29,22.22997947,TOR,AWAY,ORL,35,FALSE,3.15,1,1,1,0,0,None,0,0,None,1,0,1,0,0,0,0,0,2,2.4,9
acyqu01,Quincy,Acy,2012-2013,32,2013,1,2,22.24093087,TOR,HOME,POR,23,FALSE,4.9,0,0,None,0,0,None,2,2,1,0,0,0,0,0,1,0,2,2,1.9,1
acyqu01,Quincy,Acy,2012-2013,33,2013,1,4,22.24640657,TOR,HOME,SAC,-9,FALSE,11.58333333,0,2,0,0,0,None,0,0,None,4,1,5,0,0,0,1,3,0,-0.5,9
acyqu01,Quincy,Acy,2012-2013,34,2013,1,6,22.25188227,TOR,HOME,OKC,-12,FALSE,2.9,1,1,1,0,0,None,4,4,1,0,1,1,0,1,0,0,0,6,7,6
acyqu01,Quincy,Acy,2012-2013,36,2013,1,11,22.26557153,TOR,HOME,CHA,21,FALSE,18.03333333,3,7,0.429,0,0,None,0,0,None,5,1,6,0,0,2,2,4,6,3.9,7
