PID,FIRST,LAST,SEASON,GAME,YEAR,MONTH,DAY,AGE,TEAM,HOME/AWAY,OPP,RESULT,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-
adrieje01,Jeff,Adrien,2011-2012,1,2011,12,26,25.8733744011,HOU,AWAY,ORL,-9,FALSE,6.55,0,0,None,0,0,None,0,0,None,0,1,1,0,0,0,1,4,0,-2.3,-8
adrieje01,Jeff,Adrien,2011-2012,2,2012,01,04,25.8980150582,HOU,AWAY,LAC,-28,FALSE,14.1833333333,1,5,.200,0,0,None,1,2,.500,2,0,2,0,0,0,0,2,3,0.1,-13
adrieje01,Jeff,Adrien,2011-2012,3,2012,01,06,25.9034907598,HOU,AWAY,OKC,-15,FALSE,8.76666666667,3,4,.750,0,0,None,1,2,.500,2,3,5,0,0,0,0,0,7,7.3,+6
adrieje01,Jeff,Adrien,2011-2012,4,2012,01,17,25.9336071184,HOU,HOME,DET,17,FALSE,2.61666666667,1,1,1.000,0,0,None,0,0,None,0,0,0,0,0,0,0,2,2,0.9,0
adrieje01,Jeff,Adrien,2011-2012,5,2012,01,19,25.93908282,HOU,HOME,NOH,2,FALSE,3.76666666667,0,0,None,0,0,None,0,0,None,0,0,0,0,0,0,0,0,0,0.0,-6
adrieje01,Jeff,Adrien,2011-2012,6,2012,01,27,25.9609856263,HOU,HOME,WAS,27,FALSE,6.3,1,2,.500,0,0,None,0,0,None,1,3,4,0,0,0,0,0,2,2.6,-1
adrieje01,Jeff,Adrien,2011-2012,7,2012,01,28,25.9637234771,HOU,HOME,NYK,13,FALSE,3.93333333333,0,1,.000,0,0,None,4,6,.667,0,1,1,0,0,0,1,1,4,1.4,-7
adrieje01,Jeff,Adrien,2011-2012,8,2012,02,06,25.9883641342,HOU,AWAY,DEN,9,FALSE,16.6333333333,1,3,.333,0,0,None,1,2,.500,0,9,9,1,0,2,0,4,3,4.1,+15
afflaar01,Arron,Afflalo,2011-2012,1,2011,12,26,26.1971252567,DEN,AWAY,DAL,22,TRUE,27.9666666667,4,8,.500,1,2,.500,2,2,1.000,0,1,1,2,2,0,0,2,11,9.9,+5
afflaar01,Arron,Afflalo,2011-2012,2,2011,12,28,26.2026009582,DEN,HOME,UTA,17,TRUE,20.0833333333,4,10,.400,0,4,.000,2,4,.500,4,1,5,1,1,0,1,2,10,6.8,+1
afflaar01,Arron,Afflalo,2011-2012,3,2011,12,29,26.205338809,DEN,AWAY,POR,-9,TRUE,31.4666666667,6,12,.500,0,1,.000,7,7,1.000,1,1,2,2,0,0,0,4,19,13.8,-13
afflaar01,Arron,Afflalo,2011-2012,4,2011,12,31,26.2108145106,DEN,AWAY,LAL,-3,TRUE,25.55,4,10,.400,2,5,.400,3,5,.600,0,1,1,1,1,0,0,0,13,8.8,-9
afflaar01,Arron,Afflalo,2011-2012,5,2012,01,01,26.2135523614,DEN,HOME,LAL,9,TRUE,31.2833333333,2,7,.286,0,2,.000,2,3,.667,0,3,3,1,0,1,1,4,6,1.2,-10
afflaar01,Arron,Afflalo,2011-2012,6,2012,01,02,26.2162902122,DEN,HOME,MIL,5,TRUE,25.65,2,8,.250,0,2,.000,0,0,None,0,4,4,3,0,0,1,0,4,1.5,0
afflaar01,Arron,Afflalo,2011-2012,7,2012,01,04,26.2217659138,DEN,HOME,SAC,27,TRUE,20.35,5,8,.625,1,2,.500,0,0,None,1,0,1,0,0,0,2,4,11,4.5,-5
afflaar01,Arron,Afflalo,2011-2012,8,2012,01,06,26.2272416153,DEN,AWAY,NOH,8,TRUE,34.1833333333,6,11,.545,0,4,.000,1,1,1.000,1,2,3,2,0,0,0,1,13,10.0,+8
afflaar01,Arron,Afflalo,2011-2012,9,2012,01,07,26.2299794661,DEN,AWAY,SAS,-4,TRUE,40.8666666667,5,8,.625,2,3,.667,0,0,None,0,2,2,3,2,1,3,3,12,9.6,+5
afflaar01,Arron,Afflalo,2011-2012,10,2012,01,09,26.2354551677,DEN,HOME,NOH,-13,TRUE,34.4833333333,2,8,.250,1,5,.200,8,10,.800,0,3,3,1,0,1,1,0,13,8.7,0
afflaar01,Arron,Afflalo,2011-2012,11,2012,01,11,26.2409308693,DEN,HOME,NJN,8,TRUE,29.9333333333,6,14,.429,4,6,.667,3,4,.750,2,1,3,1,0,0,2,3,19,10.4,-4
afflaar01,Arron,Afflalo,2011-2012,12,2012,01,13,26.2464065708,DEN,HOME,MIA,13,TRUE,20.4666666667,3,8,.375,2,3,.667,0,0,None,1,1,2,3,1,1,1,3,8,6.2,+3
afflaar01,Arron,Afflalo,2011-2012,13,2012,01,15,26.2518822724,DEN,HOME,UTA,-10,TRUE,35.3333333333,4,10,.400,2,4,.500,6,10,.600,2,6,8,0,1,0,4,3,16,8.0,-4
afflaar01,Arron,Afflalo,2011-2012,14,2012,01,17,26.257357974,DEN,AWAY,MIL,10,TRUE,36.1833333333,4,11,.364,3,4,.750,0,0,None,1,1,2,2,0,2,2,2,11,5.9,-1
afflaar01,Arron,Afflalo,2011-2012,15,2012,01,18,26.2600958248,DEN,AWAY,PHI,4,TRUE,43.8333333333,5,11,.455,1,4,.250,3,4,.750,0,6,6,1,0,0,2,1,14,8.0,-1
afflaar01,Arron,Afflalo,2011-2012,16,2012,01,20,26.2655715264,DEN,AWAY,WAS,4,TRUE,33.6833333333,5,11,.455,1,2,.500,2,5,.400,0,2,2,3,1,0,2,3,13,6.6,+11
afflaar01,Arron,Afflalo,2011-2012,17,2012,01,27,26.2847364819,DEN,HOME,TOR,15,TRUE,20.5,0,3,.000,0,1,.000,0,0,None,0,1,1,2,0,0,1,4,0,-3.0,+11
